COUNTRY,INCOME,AVG_YR_SCH
Afghanistan,597.356158043866,2.0306766
Albania,3862.00100943984,10.01934
Algeria,4210.07006076286,5.9400673
American Samoa,-1.0,-1.0
Andorra,-1.0,10.62
Angola,3185.33364049508,3.9495993
Anguilla,-1.0,-1.0
Antarctica,-1.0,-1.0
Antigua and Barbuda,-1.0,10.992444
Argentina,10811.8698739139,10.89
Armenia,3409.88671346962,11.38
Aruba,21530.6779301546,-1.0
Australia,53871.5549340191,12.02
Austria,41694.0714086868,11.79
Azerbaijan,5674.20814037456,10.57
Azores,-1.0,-1.0
Bahamas,-1.0,12.113013
Bahrain,17578.9449539859,8.675
Bangladesh,949.520478634602,5.06
Barbados,14314.0151435908,9.677714
Belarus,6490.27112693149,11.57
Belgium,38766.0380436211,11.54
Belize,4499.9489117998,9.550058
Benin,1038.96287861041,2.5995166
Bermuda,-1.0,-1.0
Bhutan,1989.02720882447,2.588
Bolivia,2202.04758787747,8.423333
Bonaire,-1.0,-1.0
Bosnia and Herzegovina,4294.74784543346,8.54
Botswana,5307.63162245752,9.56
Bouvet Island,-1.0,-1.0
Brazil,9456.54424882596,7.29
British Indian Ocean Territory,-1.0,-1.0
British Virgin Islands,-1.0,-1.0
Brunei Darussalam,33009.2833471902,-1.0
Bulgaria,6516.286568748,11.01
Burkina Faso,656.553164810002,1.2457143
Burundi,164.079508952851,2.0966666
Cabo Verde,3083.4656944123,-1.0
Cambodia,872.223941710977,3.668
Cameroon,1239.55552307314,5.657391
Canada,43054.542645188,13.628
Canarias,-1.0,-1.0
Cayman Islands,-1.0,-1.0
Central African Republic,305.90264080949,3.5959284
Chad,687.609795243968,1.949108
Chile,12389.6704579851,10.01
China,5239.78513400738,7.343695
Christmas Island,-1.0,-1.0
Cocos Islands,-1.0,-1.0
Colombia,6548.41345038693,7.83
Comoros,1458.95041656882,4.7420807
Congo,-1.0,7.9221325
Congo DRC,-1.0,-1.0
Cook Islands,-1.0,-1.0
Costa Rica,9833.06034838475,8.58
Côte d'Ivoire,-1.0,-1.0
Croatia,11265.0096466691,11.323814
Cuba,5830.57337845704,11.380517
Curacao,-1.0,-1.0
Cyprus,23667.357421875,11.88
Czech Republic,-1.0,-1.0
Denmark,51939.826362982,12.75
Djibouti,1611.21861268565,2.9827561
Dominica,5733.91761061665,9.175054
Dominican Republic,5537.42827663028,7.52
Ecuador,4567.57448908148,8.29
Egypt,-1.0,8.0936365
El Salvador,3051.75709922129,6.43
Equatorial Guinea,4764.48358556841,7.6799107
Eritrea,-1.0,4.651272
Estonia,15315.3884359208,13.54
Eswatini,2896.01588694127,6.715629
Ethiopia,360.107964501053,2.272716
Falkland Islands,-1.0,-1.0
Faroe Islands,-1.0,-1.0
Fiji,3969.22098577743,10.074
Finland,40439.5672479945,12.55
France,35878.0422453967,11.08
French Guiana,-1.0,-1.0
French Polynesia,-1.0,-1.0
French Southern Territories,-1.0,-1.0
Gabon,4652.25002117605,8.416
Gambia,-1.0,3.5711415
Georgia,3904.29530194262,12.559999
Germany,38946.3130670579,14.01
Ghana,1849.15403894085,5.8512797
Gibraltar,-1.0,-1.0
Glorioso Islands,-1.0,-1.0
Greece,17844.2484166576,10.502501
Greenland,-1.0,-1.0
Grenada,-1.0,9.132583
Guadeloupe,-1.0,-1.0
Guam,-1.0,-1.0
Guatemala,2937.20654850437,4.9
Guernsey,-1.0,-1.0
Guinea,583.271825861935,1.7975
Guinea-Bissau,462.837868308644,3.303118
Guyana,4796.14129553764,7.697943
Haiti,1388.44601296904,5.0275984
Heard Island and McDonald Islands,-1.0,-1.0
Honduras,1819.61874563028,5.85
Hungary,10850.9698903463,12.01
Iceland,39104.0980931577,13.19
India,1236.80940562472,5.4951563
Indonesia,2691.45637447959,7.7033334
Iran,-1.0,10.04
Iraq,5163.90666251435,6.5370193
Ireland,35850.3570549524,11.143333
Isle of Man,-1.0,-1.0
Israel,30702.8124548348,12.8
Italy,28906.2731774372,10.12
Jamaica,4572.78474934545,8.716347
Japan,32389.6268303067,12.572
Jersey,-1.0,-1.0
Jordan,3974.53374392152,10.070131
Juan De Nova Island,-1.0,-1.0
Kazakhstan,9303.20163394536,11.668513
Kenya,1019.04219014665,6.5448866
Kiribati,2534.25933132854,8.634078
Kuwait,42999.9943620475,6.68
Kyrgyzstan,-1.0,11.258457
Laos,-1.0,5.2782087
Latvia,11293.1521001313,12.81
Lebanon,6626.86854661854,9.310909
Lesotho,1091.08275648873,6.362935
Liberia,373.687031815587,4.4358287
Libya,9167.46639390594,7.8077264
Liechtenstein,-1.0,11.836252
Lithuania,13275.9682376104,12.59
Luxembourg,72403.40850548,13.2
Madagascar,412.821137811067,4.8414683
Madeira,-1.0,-1.0
Malawi,263.661348113937,4.989488
Malaysia,7818.13148748776,10.035
Maldives,6464.80045034916,5.695852
Mali,624.984884447435,1.9250001
Malta,-1.0,11.03
Marshall Islands,-1.0,11.014845
Martinique,-1.0,-1.0
Mauritania,1624.95606270721,4.21
Mauritius,8304.54482972666,8.977586
Mayotte,-1.0,-1.0
Mexico,8273.18629239973,8.36
Micronesia,-1.0,-1.0
Moldova,3304.0594084603,11.63
Monaco,-1.0,-1.0
Mongolia,3466.55757210325,10.364018
Montenegro,6410.1232065003,11.574331
Montserrat,-1.0,-1.0
Morocco,2790.13330078125,4.924
Mozambique,558.372389937206,2.905
Myanmar,1068.56192729469,4.335717
Namibia,4688.96800624522,6.7505503
Nauru,-1.0,8.333045
Nepal,768.4497384528,3.605532
Netherlands,42399.3139489119,12.07
New Caledonia,-1.0,-1.0
New Zealand,35087.2242448396,13.33
Nicaragua,1574.87961085891,8.641161
Niger,551.562492511843,1.5743183
Nigeria,2340.35655258183,6.347104
Niue,-1.0,-1.0
