COUNTRY,INCOME
Afghanistan,475.718084233299
Albania,4851.4298209181
Algeria,2689.87252642759
American Samoa,-1.0
Andorra,-1.0
Angola,1100.21749579316
Anguilla,-1.0
Antarctica,-1.0
Antigua and Barbuda,-1.0
Argentina,7241.03030233067
Armenia,3617.03199044272
Aruba,20584.7912597757
Australia,40036.4458219231
Austria,39515.5574069958
Azerbaijan,3530.66053678637
Azores,-1.0
Bahamas,-1.0
Bahrain,17252.7504486041
Bangladesh,2305.85834488129
Barbados,14376.0764504889
Belarus,5200.94407492104
Belgium,36801.2817418139
Belize,4225.90043623901
Benin,1058.14490481897
Bermuda,-1.0
Bhutan,2724.88888654246
Bolivia,2652.86074656786
Bonaire,-1.0
Bosnia and Herzegovina,5099.28497065888
Botswana,4911.42197478843
Bouvet Island,-1.0
Brazil,5367.94903435073
British Indian Ocean Territory,-1.0
British Virgin Islands,-1.0
Brunei Darussalam,22157.4196786151
Bulgaria,8797.59335626854
Burkina Faso,683.939308916461
Burundi,150.032182597845
Cabo Verde,2840.3641609879
Cambodia,1331.13531828024
Cameroon,1285.52749534812
Canada,34953.0363610614
Canarias,-1.0
Cayman Islands,-1.0
Central African Republic,392.527322404224
Chad,440.526778208863
Chile,9720.74978802701
China,7510.44265569393
Christmas Island,-1.0
Cocos Islands,-1.0
Colombia,4605.78877312319
Comoros,1399.47310515274
Congo,-1.0
Congo DRC,-1.0
Cook Islands,-1.0
Costa Rica,10980.843974094
Côte d'Ivoire,-1.0
Croatia,12231.3893130622
Cuba,-1.0
Curacao,-1.0
Cyprus,22081.27734375
Czech Republic,-1.0
Denmark,52242.0313679839
Djibouti,2481.42354098766
Dominica,6467.86911550649
Dominican Republic,6313.75634278684
Ecuador,4317.41062810823
Egypt,-1.0
El Salvador,3208.33788059218
Equatorial Guinea,2243.60798721049
Eritrea,-1.0
Estonia,19133.1006498433
Eswatini,2361.57569822248
Ethiopia,779.457700647764
Falkland Islands,-1.0
Faroe Islands,-1.0
Fiji,3953.15016358882
Finland,40405.3438740004
France,31908.0982241167
French Guiana,-1.0
French Polynesia,-1.0
French Southern Territories,-1.0
Gabon,4266.70301106699
Gambia,-1.0
Georgia,3499.62305327143
Germany,39043.0971501674
Ghana,1852.24449587513
Gibraltar,-1.0
Glorioso Islands,-1.0
Greece,14754.7434920818
Greenland,-1.0
Grenada,-1.0
Guadeloupe,-1.0
Guam,-1.0
Guatemala,3863.16590750982
Guernsey,-1.0
Guinea,801.104244639207
Guinea-Bissau,611.637566045469
Guyana,5640.6647183442
Haiti,1216.06128815658
Heard Island and McDonald Islands,-1.0
Honduras,2096.97403166792
Hungary,13018.2432571075
Iceland,48009.3862031558
India,1637.8225185659
Indonesia,2933.53350888507
Iran,-1.0
Iraq,3540.93697589333
Ireland,39542.5335670844
Isle of Man,-1.0
Israel,37501.00899771
Italy,26185.7825880221
Jamaica,4381.26767549622
Japan,31293.4159991868
Jersey,-1.0
Jordan,3856.01645484083
Juan De Nova Island,-1.0
Kazakhstan,6516.65453099142
Kenya,1643.94491446796
Kiribati,2559.71714939559
Kuwait,-1.0
Kyrgyzstan,-1.0
Laos,-1.0
Latvia,14147.461265097
Lebanon,4242.29948986974
Lesotho,927.472701142479
Liberia,328.062800029902
Libya,6394.7428679149
Liechtenstein,-1.0
Lithuania,17014.0507700375
Luxembourg,66535.3895480755
Madagascar,383.485923441169
Madeira,-1.0
Malawi,556.83416169999
Malaysia,7321.92868411046
Maldives,6001.33750462835
Mali,671.725853948731
Malta,-1.0
Marshall Islands,-1.0
Martinique,-1.0
Mauritania,1647.91990214179
Mauritius,8094.48229775421
Mayotte,-1.0
Mexico,6535.72718632288
Micronesia,-1.0
Moldova,4098.90769499224
Monaco,-1.0
Mongolia,2939.55991664624
Montenegro,6771.26848845368
Montserrat,-1.0
Morocco,2909.06909179688
Mozambique,345.250160326651
Myanmar,1313.23150554343
Namibia,3334.70148295023
Nauru,-1.0
Nepal,1084.7425794162
Netherlands,41293.7573744594
New Caledonia,-1.0
New Zealand,34658.0133080358
Nicaragua,1628.19370633269
Niger,532.617093511864
Nigeria,1697.97691199082
Niue,-1.0
Norfolk Island,-1.0
North Korea,-1.0
North Macedonia,5325.97938641124
Northern Mariana Islands,-1.0
Norway,53949.8024971775
Oman,12038.7086398061
Pakistan,1189.74204118538
Palau,-1.0
